Material                                                     , Process                                    , Sub-process                                                                                                     , Power  , Velocity, powder flowrate, layer thickness, beam D, Hatch spacing, depth of meltpool, width of melt pool, length of melt pool, d/w   , l/w   , 2d_over_w, D_t_ratio, HAZ_depth_um, H_W_ratio, IED_J_per_cm2, L_D_ratio, L_W_ratio, P_over_sqrt_V_W_per_sqrt_mm_s, Rosenthal_depth_um, SED_J_per_mm2, Vs_over_Sb_um, W_h_ratio, area_distribution_R2, aspect_ratio_width_to_depth, balling_percentage, build_layer_height_um, build_to_powder_ratio_percent, cavity_depth_no_powder_um, cavity_depth_with_powder_um, conduction_to_keyhole_transition_normalized_enthalpy, depression_zone_depth_um, depression_zone_width_to_depth, depression_zone_width_um, depth_difference_no_powder_um, depth_difference_with_powder_um, depth_per_energy_mm_per_J, depth_std_um, depth_to_half_width_ratio_gt, dimensionless_depth_d_star, dimensionless_enthalpy_H_star, dimensionless_width_w_star, energy_density_J_per_mm3, experimental_mean_width_um, front_wall_tilt_angle_deg, keyhole_instability_onset_normalized_enthalpy, keyholing_porosity_percentage, length_to_depth, location                                       , martensite_block_avg_diameter_um, melt_pool_depth_no_powder_um, melting_mode               , melting_regime, meltpool_boundary_depth_optical_um, meltpool_cross_section_area_um2, meltpool_depth_no_powder_um, meltpool_depth_um, meltpool_depth_with_powder_um, meltpool_width_um, model                 , morphology        , normalized_enthalpy, note                                                                                                                                                                                                                                                                                                                                                                                                                                 , notes                                                                                                                                     , number_of_parameter_combinations, number_of_tracks, numerical_experimental_difference_percent, overlap_ratio_percent, peak_temperature_K, pore_diameter_mean_um, pore_diameter_range_um, pore_diameter_std_um, powder_height_um, power_range_W, pressure_condition         , ratio_Dper_to_Wper, remelting_depth_um_experiment, remelting_depth_um_simulation, solidification_rate_m_per_s, track_length_mm, vapor_depression_Lh_um, vapor_depression_aspect_ratio, vapor_depression_aspect_ratio_D_over_Lh, vaporization_ratio_eta, velocity_range_mm_per_s, width_per_energy_mm_per_J, width_std_um, width_to_depth, width_to_depth_ratio, width_uncertainty_um, E (J/mm) , E (J/mm3), density , Cp    , k     , melting T, minimum absorptivity, Y (wt%), Zn (wt%), Mg (wt%), Si (wt%), Al (wt%), Sn (wt%), Zr (wt%), W (wt%), Ti (wt%) , V (wt%), Co (wt%), Cu (wt%), Ta (wt%), Nb (wt%), Ni (wt.%), Cr (wt.%), Fe (wt.%), Mn (wt%), Mo (wt.%), paper ID             , paper                                                                                                                                                                                  , dois
Ti-6Al-4V                                                    , Laser Powder Bed Fusion                    , LPBF (EOS M290)                                                                                                 ,  280   , 1200    ,                ,           0.03 , 0.1   ,       0.14   ,             84   ,            168    ,                    , 0.5   ,       ,          ,          ,             ,      0.83,              ,      0.35,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                    56   ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.2333 ,     56   , 4430    ,  526  ,       ,    1923  ,                 0.48,        ,         ,         ,         , 6.0     ,         ,         ,        ,          ,   4.0  ,         ,         ,         ,         ,          ,          ,          ,         ,          , file1                , Defect structure process maps for laser powder bed fusion additive manufacturing                                                                                                       , 
Ti-6Al-4V                                                    , Laser Powder Bed Fusion                    , LPBF (EOS M290)                                                                                                 ,  280   ,  400    ,                ,           0.03 , 0.1   ,       0.14   ,            144   ,            288    ,                    , 0.5   ,       ,          ,          ,             ,      0.49,              ,      0.21,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                   167   ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.7    ,    167   , 4430    ,  526  ,       ,    1923  ,                 0.48,        ,         ,         ,         , 6.0     ,         ,         ,        ,          ,   4.0  ,         ,         ,         ,         ,          ,          ,          ,         ,          , file1                , Defect structure process maps for laser powder bed fusion additive manufacturing                                                                                                       , 
Ti-6Al-4V                                                    , Laser Powder Bed Fusion                    , LPBF (EOS M290)                                                                                                 ,  280   ,  800    ,                ,           0.03 , 0.1   ,       0.14   ,            102   ,            204    ,                    , 0.5   ,       ,          ,          ,             ,      0.68,              ,      0.29,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                    83   ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.35   ,     83   , 4430    ,  526  ,       ,    1923  ,                 0.48,        ,         ,         ,         , 6.0     ,         ,         ,        ,          ,   4.0  ,         ,         ,         ,         ,          ,          ,          ,         ,          , file1                , Defect structure process maps for laser powder bed fusion additive manufacturing                                                                                                       , 
Ti-6Al-4V                                                    , Laser Powder Bed Fusion                    , LPBF (EOS M290)                                                                                                 ,  280   , 1000    ,                ,           0.03 , 0.1   ,       0.14   ,             92   ,            184    ,                    , 0.5   ,       ,          ,          ,             ,      0.76,              ,      0.32,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                    67   ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.28   ,     67   , 4430    ,  526  ,       ,    1923  ,                 0.48,        ,         ,         ,         , 6.0     ,         ,         ,        ,          ,   4.0  ,         ,         ,         ,         ,          ,          ,          ,         ,          , file1                , Defect structure process maps for laser powder bed fusion additive manufacturing                                                                                                       , 
Ti-6Al-4V                                                    , Laser Powder Bed Fusion                    , LPBF (EOS M290)                                                                                                 ,  280   , 1500    ,                ,           0.03 , 0.1   ,       0.08   ,             75   ,            150    ,                    , 0.5   ,       ,          ,          ,             ,      0.53,              ,      0.4 ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                    44   ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.1867 ,     44   , 4430    ,  526  ,       ,    1923  ,                 0.48,        ,         ,         ,         , 6.0     ,         ,         ,        ,          ,   4.0  ,         ,         ,         ,         ,          ,          ,          ,         ,          , file1                , Defect structure process maps for laser powder bed fusion additive manufacturing                                                                                                       , 
Ti-6Al-4V                                                    , Laser Powder Bed Fusion                    , LPBF (EOS M290)                                                                                                 ,  370   , 1200    ,                ,           0.03 , 0.1   ,       0.14   ,             96   ,            192    ,                    , 0.5   ,       ,          ,          ,             ,      0.73,              ,      0.31,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                    73   ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.3083 ,     73   , 4430    ,  526  ,       ,    1923  ,                 0.48,        ,         ,         ,         , 6.0     ,         ,         ,        ,          ,   4.0  ,         ,         ,         ,         ,          ,          ,          ,         ,          , file1                , Defect structure process maps for laser powder bed fusion additive manufacturing                                                                                                       , 
Ti-6Al-4V                                                    , Laser Powder Bed Fusion                    , LPBF (EOS M290)                                                                                                 ,  325   , 1200    ,                ,           0.03 , 0.1   ,       0.14   ,             90   ,            180    ,                    , 0.5   ,       ,          ,          ,             ,      0.78,              ,      0.33,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                    64   ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.2708 ,     64   , 4430    ,  526  ,       ,    1923  ,                 0.48,        ,         ,         ,         , 6.0     ,         ,         ,        ,          ,   4.0  ,         ,         ,         ,         ,          ,          ,          ,         ,          , file1                , Defect structure process maps for laser powder bed fusion additive manufacturing                                                                                                       , 
Ti-6Al-4V                                                    , Laser Powder Bed Fusion                    , LPBF (EOS M290)                                                                                                 ,  100   , 1200    ,                ,           0.03 , 0.1   ,       0.05   ,             50   ,            100    ,                    , 0.5   ,       ,          ,          ,             ,      0.5 ,              ,      0.6 ,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                    56   ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.0833 ,     56   , 4430    ,  526  ,       ,    1923  ,                 0.48,        ,         ,         ,         , 6.0     ,         ,         ,        ,          ,   4.0  ,         ,         ,         ,         ,          ,          ,          ,         ,          , file1                , Defect structure process maps for laser powder bed fusion additive manufacturing                                                                                                       , 
Ti-6Al-4V                                                    , Laser Powder Bed Fusion                    , LPBF (EOS M290)                                                                                                 ,  165   , 1200    ,                ,           0.03 , 0.1   ,       0.14   ,             64   ,            128    ,                    , 0.5   ,       ,          ,          ,             ,      1.1 ,              ,      0.47,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                    33   ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.1375 ,     33   , 4430    ,  526  ,       ,    1923  ,                 0.48,        ,         ,         ,         , 6.0     ,         ,         ,        ,          ,   4.0  ,         ,         ,         ,         ,          ,          ,          ,         ,          , file1                , Defect structure process maps for laser powder bed fusion additive manufacturing                                                                                                       , 
Ti-6Al-4V                                                    , Laser Powder Bed Fusion                    , LPBF (EOS M290)                                                                                                 ,  280   , 1200    ,                ,           0.03 , 0.1   ,       0.16   ,             84   ,            168    ,                    , 0.5   ,       ,          ,          ,             ,      0.95,              ,      0.36,          ,                              ,                   ,              ,              ,          ,                     ,                            ,                   ,                      ,                              ,                          ,                            ,                                                     ,                         ,                               ,                         ,                              ,                                ,                          ,             ,                             ,                           ,                              ,                           ,                    49   ,                           ,                          ,                                              ,                              ,                ,                                                ,                                 ,                             ,                            ,               ,                                   ,                                ,                            ,                  ,                              ,                  ,                       ,                   ,                    ,                                                                                                                                                                                                                                                                                                                                                                                                                                      ,                                                                                                                                           ,                                 ,                 ,                                          ,                      ,                   ,                      ,                       ,                     ,                 ,              ,                            ,                   ,                              ,                              ,                            ,                ,                       ,                              ,                                        ,                       ,                        ,                          ,             ,               ,                     ,                     ,   0.2333 ,     49   , 4430    ,  526  ,       ,    1923  ,                 0.48,        ,         ,         ,         , 6.0     ,         ,         ,        ,          ,   4.0  ,         ,         ,         ,         ,          ,          ,          ,         ,          , file1                , Defect structure process maps for laser powder bed fusion additive manufacturing                                                                                                       , 
