# Row pairs: first 83 = same Material, Power, Velocity, layer thickness, paper ID; next 17 = same Power, Velocity, layer thickness only (1-based; header=row 1). Total 100 pairs.
original_row_number_meltpoolnet,reconstructed_row_number_extracted,match_type
2,2,Material+Power+Velocity+layer+paper_ID
3,3,Material+Power+Velocity+layer+paper_ID
4,4,Material+Power+Velocity+layer+paper_ID
5,5,Material+Power+Velocity+layer+paper_ID
6,6,Material+Power+Velocity+layer+paper_ID
7,7,Material+Power+Velocity+layer+paper_ID
8,8,Material+Power+Velocity+layer+paper_ID
9,9,Material+Power+Velocity+layer+paper_ID
10,10,Material+Power+Velocity+layer+paper_ID
11,11,Material+Power+Velocity+layer+paper_ID
12,12,Material+Power+Velocity+layer+paper_ID
13,13,Material+Power+Velocity+layer+paper_ID
14,14,Material+Power+Velocity+layer+paper_ID
15,15,Material+Power+Velocity+layer+paper_ID
16,16,Material+Power+Velocity+layer+paper_ID
17,17,Material+Power+Velocity+layer+paper_ID
18,18,Material+Power+Velocity+layer+paper_ID
19,19,Material+Power+Velocity+layer+paper_ID
20,20,Material+Power+Velocity+layer+paper_ID
21,21,Material+Power+Velocity+layer+paper_ID
22,22,Material+Power+Velocity+layer+paper_ID
23,23,Material+Power+Velocity+layer+paper_ID
24,24,Material+Power+Velocity+layer+paper_ID
25,25,Material+Power+Velocity+layer+paper_ID
26,26,Material+Power+Velocity+layer+paper_ID
27,27,Material+Power+Velocity+layer+paper_ID
28,28,Material+Power+Velocity+layer+paper_ID
29,29,Material+Power+Velocity+layer+paper_ID
30,30,Material+Power+Velocity+layer+paper_ID
31,31,Material+Power+Velocity+layer+paper_ID
32,32,Material+Power+Velocity+layer+paper_ID
33,33,Material+Power+Velocity+layer+paper_ID
34,34,Material+Power+Velocity+layer+paper_ID
35,35,Material+Power+Velocity+layer+paper_ID
109,67,Material+Power+Velocity+layer+paper_ID
110,71,Material+Power+Velocity+layer+paper_ID
111,75,Material+Power+Velocity+layer+paper_ID
112,68,Material+Power+Velocity+layer+paper_ID
113,72,Material+Power+Velocity+layer+paper_ID
114,76,Material+Power+Velocity+layer+paper_ID
115,69,Material+Power+Velocity+layer+paper_ID
116,73,Material+Power+Velocity+layer+paper_ID
117,77,Material+Power+Velocity+layer+paper_ID
118,70,Material+Power+Velocity+layer+paper_ID
119,74,Material+Power+Velocity+layer+paper_ID
120,78,Material+Power+Velocity+layer+paper_ID
189,170,Material+Power+Velocity+layer+paper_ID
190,171,Material+Power+Velocity+layer+paper_ID
191,172,Material+Power+Velocity+layer+paper_ID
192,173,Material+Power+Velocity+layer+paper_ID
193,164,Material+Power+Velocity+layer+paper_ID
194,165,Material+Power+Velocity+layer+paper_ID
195,166,Material+Power+Velocity+layer+paper_ID
196,167,Material+Power+Velocity+layer+paper_ID
197,168,Material+Power+Velocity+layer+paper_ID
198,159,Material+Power+Velocity+layer+paper_ID
199,160,Material+Power+Velocity+layer+paper_ID
200,161,Material+Power+Velocity+layer+paper_ID
201,162,Material+Power+Velocity+layer+paper_ID
202,163,Material+Power+Velocity+layer+paper_ID
203,186,Material+Power+Velocity+layer+paper_ID
215,188,Material+Power+Velocity+layer+paper_ID
223,184,Material+Power+Velocity+layer+paper_ID
263,185,Material+Power+Velocity+layer+paper_ID
264,187,Material+Power+Velocity+layer+paper_ID
476,356,Material+Power+Velocity+layer+paper_ID
477,357,Material+Power+Velocity+layer+paper_ID
478,358,Material+Power+Velocity+layer+paper_ID
479,359,Material+Power+Velocity+layer+paper_ID
480,360,Material+Power+Velocity+layer+paper_ID
481,361,Material+Power+Velocity+layer+paper_ID
482,362,Material+Power+Velocity+layer+paper_ID
483,364,Material+Power+Velocity+layer+paper_ID
503,420,Material+Power+Velocity+layer+paper_ID
504,421,Material+Power+Velocity+layer+paper_ID
505,422,Material+Power+Velocity+layer+paper_ID
506,423,Material+Power+Velocity+layer+paper_ID
507,424,Material+Power+Velocity+layer+paper_ID
637,551,Material+Power+Velocity+layer+paper_ID
638,555,Material+Power+Velocity+layer+paper_ID
639,554,Material+Power+Velocity+layer+paper_ID
640,557,Material+Power+Velocity+layer+paper_ID
641,559,Material+Power+Velocity+layer+paper_ID
41,42,Power+Velocity+layer_only
42,43,Power+Velocity+layer_only
43,44,Power+Velocity+layer_only
45,46,Power+Velocity+layer_only
46,45,Power+Velocity+layer_only
47,48,Power+Velocity+layer_only
48,49,Power+Velocity+layer_only
54,50,Power+Velocity+layer_only
55,51,Power+Velocity+layer_only
62,52,Power+Velocity+layer_only
69,53,Power+Velocity+layer_only
76,54,Power+Velocity+layer_only
101,55,Power+Velocity+layer_only
102,56,Power+Velocity+layer_only
103,57,Power+Velocity+layer_only
104,60,Power+Velocity+layer_only
105,61,Power+Velocity+layer_only
