Material,Process,Sub-process,Power,Velocity,powder flowrate,layer thickness,beam D,Hatch spacing,depth of meltpool,width of melt pool,length of melt pool,d/w,l/w,L_over_D,H_over_W,vaporization_ratio_eta,build_to_powder_ratio_percent,normalized_enthalpy_deltaH_over_hs,conduction_to_keyhole_transition_normalized_enthalpy_deltaH_over_hs,meltpool_aspect_ratio_width_to_depth,D_over_t,L_over_W,W_over_h,E (J/mm),E (J/mm3),density,Cp,k,melting T,minimum absorptivity,Y (wt%),Zn (wt%),Mg (wt%),Si (wt%),Al (wt%),Sn (wt%),Zr (wt%),W (wt%),Ti (wt%),V (wt%),Co (wt%),Cu (wt%),Ta (wt%),Nb (wt%),Ni (wt.%),Cr (wt.%),Fe (wt.%),Mn (wt%),Mo (wt.%),paper ID,paper,Dois
Ti-6Al-4V,Powder bed fusion,Laser powder bed fusion (LPBF) on EOS M290,280,1200,,0.03,0.1,0.14,84,168,,0.5,,0.35,0.83,,,,,,,,,0.23333333333333334,56,4430,526,,,0.48,,,,,,,,,,,,,,,,,,,,1,Defect structure process maps for laser powder bed fusion additive manufacturing,
Ti-6Al-4V,Powder bed fusion,Laser powder bed fusion (LPBF) on EOS M290,280,400,,0.03,0.1,0.14,144,288,,0.5,,0.21,0.49,,,,,,,,,0.7,167,4430,526,,,0.48,,,,,,,,,,,,,,,,,,,,1,Defect structure process maps for laser powder bed fusion additive manufacturing,
Ti-6Al-4V,Powder bed fusion,Laser powder bed fusion (LPBF) on EOS M290,280,800,,0.03,0.1,0.14,102,204,,0.5,,0.29,0.68,,,,,,,,,0.35,83,4430,526,,,0.48,,,,,,,,,,,,,,,,,,,,1,Defect structure process maps for laser powder bed fusion additive manufacturing,
Ti-6Al-4V,Powder bed fusion,Laser powder bed fusion (LPBF) on EOS M290,280,1000,,0.03,0.1,0.14,92,184,,0.5,,0.32,0.76,,,,,,,,,0.28,67,4430,526,,,0.48,,,,,,,,,,,,,,,,,,,,1,Defect structure process maps for laser powder bed fusion additive manufacturing,
Ti-6Al-4V,Powder bed fusion,Laser powder bed fusion (LPBF) on EOS M290,280,1500,,0.03,0.1,0.08,75,150,,0.5,,0.4,0.53,,,,,,,,,0.18666666666666668,44,4430,526,,,0.48,,,,,,,,,,,,,,,,,,,,1,Defect structure process maps for laser powder bed fusion additive manufacturing,
Ti-6Al-4V,Powder bed fusion,Laser powder bed fusion (LPBF) on EOS M290,370,1200,,0.03,0.1,0.14,96,192,,0.5,,0.31,0.73,,,,,,,,,0.30833333333333335,73,4430,526,,,0.48,,,,,,,,,,,,,,,,,,,,1,Defect structure process maps for laser powder bed fusion additive manufacturing,
Ti-6Al-4V,Powder bed fusion,Laser powder bed fusion (LPBF) on EOS M290,325,1200,,0.03,0.1,0.14,90,180,,0.5,,0.33,0.78,,,,,,,,,0.2708333333333333,64,4430,526,,,0.48,,,,,,,,,,,,,,,,,,,,1,Defect structure process maps for laser powder bed fusion additive manufacturing,
Ti-6Al-4V,Powder bed fusion,Laser powder bed fusion (LPBF) on EOS M290,100,1200,,0.03,0.1,0.05,50,100,,0.5,,0.6,0.5,,,,,,,,,0.08333333333333333,56,4430,526,,,0.48,,,,,,,,,,,,,,,,,,,,1,Defect structure process maps for laser powder bed fusion additive manufacturing,
Ti-6Al-4V,Powder bed fusion,Laser powder bed fusion (LPBF) on EOS M290,165,1200,,0.03,0.1,0.14,64,128,,0.5,,0.47,1.1,,,,,,,,,0.1375,33,4430,526,,,0.48,,,,,,,,,,,,,,,,,,,,1,Defect structure process maps for laser powder bed fusion additive manufacturing,
Ti-6Al-4V,Powder bed fusion,Laser powder bed fusion (LPBF) on EOS M290,280,1200,,0.03,0.1,0.16,84,168,,0.5,,0.36,0.95,,,,,,,,,0.23333333333333334,49,4430,526,,,0.48,,,,,,,,,,,,,,,,,,,,1,Defect structure process maps for laser powder bed fusion additive manufacturing,
