row_meltpoolnet_regression,row_extracted_data_codex
2,2
3,3
4,4
5,5
6,6
7,7
8,8
9,9
10,10
11,11
12,12
13,13
14,195
15,196
16,197
17,198
18,199
19,200
20,201
21,202
22,203
23,204
24,205
25,206
26,207
27,208
28,209
29,210
109,567
110,579
111,591
112,570
113,582
114,594
115,573
116,585
117,597
118,576
119,588
120,600
121,568
122,580
123,592
124,571
125,583
126,595
127,574
128,586
129,598
130,577
131,589
132,601
133,569
134,581
135,593
136,572
137,584
138,596
139,575
140,587
141,599
142,578
143,590
144,602
189,72
190,73
191,74
192,75
193,66
194,67
195,68
196,69
197,70
198,61
199,62
200,63
201,64
202,65
203,85
204,101
205,117
206,133
207,86
208,102
209,118
210,134
211,87
212,103
213,119
214,135
215,88
216,104
217,120
218,136
219,89
220,105
221,121
222,137
223,90
224,106
