Material,Process,Sub-process,Power,Velocity,powder flowrate,layer thickness,beam D,Hatch spacing,depth of meltpool,width of melt pool,length of melt pool,d/w,l/w,D_over_t,H_over_W,L_over_D,PDAS_um_experiment_near_0_15,PDAS_um_predicted,PDAS_um_prediction_near_0_15,PDAS_um_prediction_site_D,PDAS_um_prediction_site_E,PDAS_um_prediction_site_F,PDAS_um_prediction_site_J,PDAS_um_reference_experiment,PDAS_um_site_D,PDAS_um_site_E,PDAS_um_site_F,PDAS_um_site_J,PRF_kHz,P_over_sqrtV_W_per_sqrt_mm_per_s,Pv_minus_half_W_mm_minus_1_2_s_1_2,W_over_h,absorptivity,alloy,approx_from_plot,beam_profile,beam_radius_um_reported,build_layer_height_um,build_to_powder_ratio_percent,cavity_minus_meltpool_depth_um,coating_height_um,conduction_to_transition_AR_boundary,conduction_to_transition_recoil_force_mN_approx,constant_Ax_um2,constant_Ax_um2_curves,constant_l_over_d,constant_l_over_d_curves,cooling_rate_K_per_s,critical_depression_width_top_um_for_spot_size,critical_power_density_threshold_MW_per_cm2,crossflow_direction,crossflow_m_per_s,data_origin,depression_and_absorptivity_source,depression_zone_depth_um,depression_zone_width_to_depth,depression_zone_width_um,depth_decrease_slope_um_per_mm,depth_note,depth_vs_height_trend,design,diameter_um_series,dimensionless_enthalpy_H_star,experimental_remelting_depth_um,factor_levels,fixed_parameters,front_wall_tilt_deg,geometry,geometry_basis,ied_J_per_cm2,intercellular_Al_at_percent,keyhole_recoil_force_mN_approx,laser_mode,laser_wavelength_nm,length_definition,length_to_depth,machine,material,melting_mode,melting_regime,meltpool_dimensions_source,meltpool_geometry_source,normalized_enthalpy_DeltaH_over_hs,note,noted_model_offset_um,numerical_steady_state_width_um,oxygen_ppm,partition_coefficient_kLPBF,point_distance_um,porosity_percent,powder_condition,powder_to_no_powder_depth_ratio,powder_to_no_powder_width_ratio,power_series_W_approx_from_plot,preheat_temperature_C,pressure_Pa,pressure_condition,pressure_kPa,pulse_duration_us,rear_wall_feature,reported_areal_energy_density_J_per_mm2,reported_aspect_ratio_D_over_Lh,reported_aspect_ratio_width_to_depth,reported_cross_section_area_um2,reported_meltpool_aspect_ratio_transition_value,reported_meltpool_ranges_um,reported_stable_speed_window_m_per_s,ripple_angle_deg_experimental_range,rosenthal_model_depth_um,rubenchik_model_depth_um,scan_pattern,scan_strategy,scan_strategy_rotation_deg,secondary_depression_depth_um,secondary_depression_offset_from_primary_um,secondary_depression_present,site_xprime_um,site_zprime_um,source,source_figure,specific_energy_density_J_per_mm2,stability_cmp_over_lmp,stability_regime,substrate_condition,surface_condition,table_unit_label,temperature_gradient_K_per_m,thermal_gradient_K_per_mm,top_boundary,track_location,transition_region_recoil_force_mN_range,transition_to_keyhole_AR_boundary,tuning_fork_ids_used,two_depth_to_width,type_II_depth_std_dev_um,type_II_depth_um,type_II_width_std_dev_um,type_II_width_um,type_I_depth_std_dev_um,type_I_depth_um,type_I_width_std_dev_um,type_I_width_um,value_basis,vapor_cavity_depth_um,vaporized_to_molten_volume_ratio_eta,velocity_series_mm_per_s,width_difference_percent,width_to_depth,E (J/mm),E (J/mm3),density,Cp,k,melting T,minimum absorptivity,Y (wt%),Zn (wt%),Mg (wt%),Si (wt%),Al (wt%),Sn (wt%),Zr (wt%),W (wt%),Ti (wt%),V (wt%),Co (wt%),Cu (wt%),Ta (wt%),Nb (wt%),Ni (wt.%),Cr (wt.%),Fe (wt.%),Mn (wt%),Mo (wt.%),paper ID,paper,Dois
Ti-6Al-4V,Additive manufacturing,Laser powder bed fusion (EOS M290),280,1200,,30,100,140,84,168,,0.5,,,0.83,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233333,56,4430,526,,,0.48,,,,,6,,,,90,4,,,,,,,,,,1/file1,Defect structure process maps for laser powder bed fusion additive manufacturing,
Ti-6Al-4V,Additive manufacturing,Laser powder bed fusion (EOS M290),280,400,,30,100,140,144,288,,0.5,,,0.49,0.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,167,4430,526,,,0.48,,,,,6,,,,90,4,,,,,,,,,,1/file1,Defect structure process maps for laser powder bed fusion additive manufacturing,
Ti-6Al-4V,Additive manufacturing,Laser powder bed fusion (EOS M290),280,800,,30,100,140,102,204,,0.5,,,0.68,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35,83,4430,526,,,0.48,,,,,6,,,,90,4,,,,,,,,,,1/file1,Defect structure process maps for laser powder bed fusion additive manufacturing,
Ti-6Al-4V,Additive manufacturing,Laser powder bed fusion (EOS M290),280,1000,,30,100,140,92,184,,0.5,,,0.76,0.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,67,4430,526,,,0.48,,,,,6,,,,90,4,,,,,,,,,,1/file1,Defect structure process maps for laser powder bed fusion additive manufacturing,
Ti-6Al-4V,Additive manufacturing,Laser powder bed fusion (EOS M290),280,1500,,30,100,80,75,150,,0.5,,,0.53,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.186667,44,4430,526,,,0.48,,,,,6,,,,90,4,,,,,,,,,,1/file1,Defect structure process maps for laser powder bed fusion additive manufacturing,
Ti-6Al-4V,Additive manufacturing,Laser powder bed fusion (EOS M290),370,1200,,30,100,140,96,192,,0.5,,,0.73,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.308333,73,4430,526,,,0.48,,,,,6,,,,90,4,,,,,,,,,,1/file1,Defect structure process maps for laser powder bed fusion additive manufacturing,
Ti-6Al-4V,Additive manufacturing,Laser powder bed fusion (EOS M290),325,1200,,30,100,140,90,180,,0.5,,,0.78,0.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.270833,64,4430,526,,,0.48,,,,,6,,,,90,4,,,,,,,,,,1/file1,Defect structure process maps for laser powder bed fusion additive manufacturing,
Ti-6Al-4V,Additive manufacturing,Laser powder bed fusion (EOS M290),100,1200,,30,100,50,50,100,,0.5,,,0.5,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.083333,56,4430,526,,,0.48,,,,,6,,,,90,4,,,,,,,,,,1/file1,Defect structure process maps for laser powder bed fusion additive manufacturing,
Ti-6Al-4V,Additive manufacturing,Laser powder bed fusion (EOS M290),165,1200,,30,100,140,64,128,,0.5,,,1.1,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1375,33,4430,526,,,0.48,,,,,6,,,,90,4,,,,,,,,,,1/file1,Defect structure process maps for laser powder bed fusion additive manufacturing,
Ti-6Al-4V,Additive manufacturing,Laser powder bed fusion (EOS M290),280,1200,,30,100,160,84,168,,0.5,,,0.95,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233333,49,4430,526,,,0.48,,,,,6,,,,90,4,,,,,,,,,,1/file1,Defect structure process maps for laser powder bed fusion additive manufacturing,
Ti-6Al-4V,Additive manufacturing,Laser powder bed fusion (EOS M290),280,1200,,30,100,40,84,168,,0.5,,,0.24,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.233333,194,4430,526,,,0.48,,,,,6,,,,90,4,,,,,,,,,,1/file1,Defect structure process maps for laser powder bed fusion additive manufacturing,
Ti-6Al-4V,Additive manufacturing,Laser powder bed fusion (EOS M290),370,1000,,30,100,240,105,210,,0.5,,,1.14,0.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.37,51,4430,526,,,0.48,,,,,6,,,,90,4,,,,,,,,,,1/file1,Defect structure process maps for laser powder bed fusion additive manufacturing,
Ti-6Al-4V,Additive manufacturing,Laser powder bed fusion (EOS M290),340,1250,,60,100,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.272,37.777778,4430,526,,,0.48,,,,,6,,,,90,4,,,,,,,,,,1/file1,Defect structure process maps for laser powder bed fusion additive manufacturing,
Ti-6Al-4V,Additive manufacturing,Laser powder bed fusion (EOS M290),340,1250,,60,100,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.272,37.777778,4430,526,,,0.48,,,,,6,,,,90,4,,,,,,,,,,1/file1,Defect structure process maps for laser powder bed fusion additive manufacturing,
Invar 36 (Fe-36Ni),Laser powder bed fusion (LPBF),Single-pass laser glazing tracks with additional multiple-pass bidirectional transient scans,200,1600,,,70,,,105.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,108.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.29,,0.125,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36,,64,,,10/file10,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,
Invar 36 (Fe-36Ni),Laser powder bed fusion (LPBF),Single-pass laser glazing tracks with additional multiple-pass bidirectional transient scans,200,2000,,,70,,,100.782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.38,,0.1,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36,,64,,,10/file10,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,
Invar 36 (Fe-36Ni),Laser powder bed fusion (LPBF),Single-pass laser glazing tracks with additional multiple-pass bidirectional transient scans,200,2600,,,70,,,92.495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.59,,0.0769230769,,8050,515,10.15,1727,,,,,,,,,,,,,,,,36,,64,,,10/file10,Processing parameter and transient effects on melt pool geometry in additive manufacturing of Invar 36,
