original_row,reconstructed_row,match_basis,original_material,reconstructed_material,original_material_canonical,reconstructed_material_canonical,material_match_after_normalization,power_norm,velocity_norm,layer_thickness_norm,original_paper_id,reconstructed_paper_id,original_full_key_group_size,reconstructed_full_key_group_size,original_fallback_key_group_size,reconstructed_fallback_key_group_size
1,1,material_power_velocity_layer_paper_id,Ti-6Al-4V,Ti-6Al-4V,ti6al4v,ti6al4v,yes,280,1200,30,1,1/file1,3,3,3,3
2,2,material_power_velocity_layer_paper_id,Ti-6Al-4V,Ti-6Al-4V,ti6al4v,ti6al4v,yes,280,400,30,1,1/file1,1,1,1,1
3,3,material_power_velocity_layer_paper_id,Ti-6Al-4V,Ti-6Al-4V,ti6al4v,ti6al4v,yes,280,800,30,1,1/file1,1,1,1,1
4,4,material_power_velocity_layer_paper_id,Ti-6Al-4V,Ti-6Al-4V,ti6al4v,ti6al4v,yes,280,1000,30,1,1/file1,1,1,1,1
5,5,material_power_velocity_layer_paper_id,Ti-6Al-4V,Ti-6Al-4V,ti6al4v,ti6al4v,yes,280,1500,30,1,1/file1,1,1,1,1
6,6,material_power_velocity_layer_paper_id,Ti-6Al-4V,Ti-6Al-4V,ti6al4v,ti6al4v,yes,370,1200,30,1,1/file1,1,1,1,1
7,7,material_power_velocity_layer_paper_id,Ti-6Al-4V,Ti-6Al-4V,ti6al4v,ti6al4v,yes,325,1200,30,1,1/file1,1,1,1,1
8,8,material_power_velocity_layer_paper_id,Ti-6Al-4V,Ti-6Al-4V,ti6al4v,ti6al4v,yes,100,1200,30,1,1/file1,1,1,2,2
9,9,material_power_velocity_layer_paper_id,Ti-6Al-4V,Ti-6Al-4V,ti6al4v,ti6al4v,yes,165,1200,30,1,1/file1,1,1,1,1
10,10,material_power_velocity_layer_paper_id,Ti-6Al-4V,Ti-6Al-4V,ti6al4v,ti6al4v,yes,280,1200,30,1,1/file1,3,3,3,3
11,11,material_power_velocity_layer_paper_id,Ti-6Al-4V,Ti-6Al-4V,ti6al4v,ti6al4v,yes,280,1200,30,1,1/file1,3,3,3,3
12,12,material_power_velocity_layer_paper_id,Ti-6Al-4V,Ti-6Al-4V,ti6al4v,ti6al4v,yes,370,1000,30,1,1/file1,1,1,2,1
13,267,material_power_velocity_layer_paper_id,Ti-6Al-4V,Ti-6Al-4V,ti6al4v,ti6al4v,yes,50,500,30,2,2/file2,1,1,2,1
14,268,material_power_velocity_layer_paper_id,Ti-6Al-4V,Ti-6Al-4V,ti6al4v,ti6al4v,yes,50,750,30,2,2/file2,1,1,1,1
15,269,material_power_velocity_layer_paper_id,Ti-6Al-4V,Ti-6Al-4V,ti6al4v,ti6al4v,yes,50,1000,30,2,2/file2,1,1,2,1
16,270,material_power_velocity_layer_paper_id,Ti-6Al-4V,Ti-6Al-4V,ti6al4v,ti6al4v,yes,50,1200,30,2,2/file2,1,1,1,1
17,271,material_power_velocity_layer_paper_id,Ti-6Al-4V,Ti-6Al-4V,ti6al4v,ti6al4v,yes,100,500,30,2,2/file2,1,1,2,2
