Material,Process,Sub-process,Power,Velocity,powder flowrate,layer thickness,beam D,Hatch spacing,depth of meltpool,width of melt pool,length of melt pool,d/w,l/w,Other ratios,E (J/mm),E (J/mm3),density,Cp,k,melting T,minimum absorptivity,Y (wt%),Zn (wt%),Mg (wt%),Si (wt%),Al (wt%),Sn (wt%),Zr (wt%),W (wt%),Ti (wt%),V (wt%),Co (wt%),Cu (wt%),Ta (wt%),Nb (wt%),Ni (wt.%),Cr (wt.%),Fe (wt.%),Mn (wt%),Mo (wt.%),paper ID,paper,Dois
Ti-6Al-4V,Laser Powder Bed Fusion (LPBF),EOS M290 machine with plasma atomized powder,280,1200,,30,100,140,84,168,,0.35,,H_W_ratio=0.83,0.233,56,4430,526,,,0.48,,,,,6,,,,89,4,,,,,,,,,,addma_2020_gordon,Defect structure process maps for laser powder bed fusion additive manufacturing,10.1016/j.addma.2020.101548
Ti-6Al-4V,Laser Powder Bed Fusion (LPBF),EOS M290 machine with plasma atomized powder,280,400,,30,100,140,144,288,,0.21,,H_W_ratio=0.49,0.7,167,4430,526,,,0.48,,,,,6,,,,89,4,,,,,,,,,,addma_2020_gordon,Defect structure process maps for laser powder bed fusion additive manufacturing,10.1016/j.addma.2020.101548
Ti-6Al-4V,Laser Powder Bed Fusion (LPBF),EOS M290 machine with plasma atomized powder,280,800,,30,100,140,102,204,,0.29,,H_W_ratio=0.68,0.35,83,4430,526,,,0.48,,,,,6,,,,89,4,,,,,,,,,,addma_2020_gordon,Defect structure process maps for laser powder bed fusion additive manufacturing,10.1016/j.addma.2020.101548
Ti-6Al-4V,Laser Powder Bed Fusion (LPBF),EOS M290 machine with plasma atomized powder,280,1000,,30,100,140,92,184,,0.32,,H_W_ratio=0.76,0.28,67,4430,526,,,0.48,,,,,6,,,,89,4,,,,,,,,,,addma_2020_gordon,Defect structure process maps for laser powder bed fusion additive manufacturing,10.1016/j.addma.2020.101548
Ti-6Al-4V,Laser Powder Bed Fusion (LPBF),EOS M290 machine with plasma atomized powder,280,1500,,30,100,80,75,150,,0.4,,H_W_ratio=0.53,0.187,44,4430,526,,,0.48,,,,,6,,,,89,4,,,,,,,,,,addma_2020_gordon,Defect structure process maps for laser powder bed fusion additive manufacturing,10.1016/j.addma.2020.101548
Ti-6Al-4V,Laser Powder Bed Fusion (LPBF),EOS M290 machine with plasma atomized powder,370,1200,,30,100,140,96,192,,0.31,,H_W_ratio=0.73,0.308,73,4430,526,,,0.48,,,,,6,,,,89,4,,,,,,,,,,addma_2020_gordon,Defect structure process maps for laser powder bed fusion additive manufacturing,10.1016/j.addma.2020.101548
Ti-6Al-4V,Laser Powder Bed Fusion (LPBF),EOS M290 machine with plasma atomized powder,325,1200,,30,100,140,90,180,,0.33,,H_W_ratio=0.78,0.271,64,4430,526,,,0.48,,,,,6,,,,89,4,,,,,,,,,,addma_2020_gordon,Defect structure process maps for laser powder bed fusion additive manufacturing,10.1016/j.addma.2020.101548
Ti-6Al-4V,Laser Powder Bed Fusion (LPBF),EOS M290 machine with plasma atomized powder,100,1200,,30,100,50,50,100,,0.6,,H_W_ratio=0.5,0.083,56,4430,526,,,0.48,,,,,6,,,,89,4,,,,,,,,,,addma_2020_gordon,Defect structure process maps for laser powder bed fusion additive manufacturing,10.1016/j.addma.2020.101548
Ti-6Al-4V,Laser Powder Bed Fusion (LPBF),EOS M290 machine with plasma atomized powder,165,1200,,30,100,140,64,128,,0.47,,H_W_ratio=1.1,0.138,33,4430,526,,,0.48,,,,,6,,,,89,4,,,,,,,,,,addma_2020_gordon,Defect structure process maps for laser powder bed fusion additive manufacturing,10.1016/j.addma.2020.101548
Ti-6Al-4V,Laser Powder Bed Fusion (LPBF),EOS M290 machine with plasma atomized powder,280,1200,,30,100,160,84,168,,0.36,,H_W_ratio=0.95,0.233,49,4430,526,,,0.48,,,,,6,,,,89,4,,,,,,,,,,addma_2020_gordon,Defect structure process maps for laser powder bed fusion additive manufacturing,10.1016/j.addma.2020.101548
