"Folder", "Composition (atomic)"                                                     , "Type of phases"                                             , "ρ (g/cm³)", "HV"    , "Type of tests", "σY (MPa)", "σmax (MPa)", "ε (%)", "E (GPa)"
"4"     , "CoFeNi"                                                                   , "FCC"                                                        , ""         , "125"   , "C"            , "200"     , "1600"      , "55"   , ""
"4"     , "Al0.25CoFeNi"                                                             , "FCC"                                                        , ""         , "140"   , "C"            , "158.4"   , "1800"      , "50"   , ""
"4"     , "Al0.5CoFeNi"                                                              , "FCC + BCC"                                                  , ""         , "215"   , "C"            , "350"     , "2620"      , "47"   , ""
"4"     , "Al0.75CoFeNi"                                                             , "FCC + BCC"                                                  , ""         , "385"   , "C"            , "800"     , "2787"      , "31.2" , ""
"4"     , "AlCoFeNi"                                                                 , "BCC"                                                        , ""         , "450"   , "C"            , "967.4"   , "1250"      , "7.9"  , ""
"4"     , "CoFeNiSi0.25"                                                             , "FCC"                                                        , ""         , "140"   , "C"            , "192.0"   , "1900"      , "52"   , ""
"4"     , "CoFeNiSi0.5"                                                              , "FCC + Ni3Si"                                                , ""         , "285"   , "C"            , "480"     , "2400"      , "43"   , ""
"4"     , "CoFeNiSi0.75"                                                             , "FCC + Ni3Si"                                                , ""         , "568"   , "C"            , "1297.1"  , "1950"      , "2"    , ""
"5"     , "FeNiCoCr"                                                                 , "FCC"                                                        , ""         , ""      , "T"            , "460"     , "1200"      , "62"   , ""
"5"     , "FeNiCoCr"                                                                 , "FCC"                                                        , ""         , ""      , "T"            , "350"     , "1000"      , "55"   , ""
"5"     , "FeNiCoCr"                                                                 , "FCC"                                                        , ""         , ""      , "T"            , "290"     , "830"       , "50"   , ""
"5"     , "FeNiCoCr"                                                                 , "FCC"                                                        , ""         , ""      , "T"            , "220"     , "630"       , "40"   , ""
"5"     , "FeNiCoCr"                                                                 , "FCC"                                                        , ""         , ""      , "T"            , "175"     , "500"       , "37"   , ""
"5"     , "FeNiCo"                                                                   , "FCC"                                                        , ""         , ""      , "T"            , "300"     , "780"       , "50"   , ""
"5"     , "FeNiCo"                                                                   , "FCC"                                                        , ""         , ""      , "T"            , "240"     , "650"       , "43"   , ""
"5"     , "FeNiCo"                                                                   , "FCC"                                                        , ""         , ""      , "T"            , "195"     , "570"       , "38"   , ""
"5"     , "FeNiCo"                                                                   , "FCC"                                                        , ""         , ""      , "T"            , "155"     , "470"       , "30"   , ""
"5"     , "FeNiCo"                                                                   , "FCC"                                                        , ""         , ""      , "T"            , "130"     , "380"       , "25"   , ""
"5"     , "NiCoCr"                                                                   , "FCC"                                                        , ""         , ""      , "T"            , "520"     , "1300"      , "75"   , ""
"5"     , "NiCoCr"                                                                   , "FCC"                                                        , ""         , ""      , "T"            , "390"     , "1090"      , "75"   , ""
"5"     , "NiCoCr"                                                                   , "FCC"                                                        , ""         , ""      , "T"            , "310"     , "890"       , "60"   , ""
"5"     , "NiCoCr"                                                                   , "FCC"                                                        , ""         , ""      , "T"            , "240"     , "680"       , "50"   , ""
"5"     , "NiCoCr"                                                                   , "FCC"                                                        , ""         , ""      , "T"            , "200"     , "550"       , "40"   , ""
"5"     , "FeNiMn"                                                                   , "FCC"                                                        , ""         , ""      , "T"            , "340"     , "800"       , "42"   , ""
