Composition                               , Type_of_phases                                              , rho  , HV    , Type_of_tests, sigma_Y, sigma_max, epsilon, E      , Folder
CoFeNi                                    , FCC                                                         ,      ,       , C            ,        ,          ,        ,        ,      4
Al0.25CoFeNi                              , FCC                                                         ,      ,  200  , C            ,  158.4 ,          ,        ,        ,      4
Al0.5CoFeNi                               , FCC+BCC                                                     ,      ,  270  , C            ,  280   ,          ,        ,        ,      4
Al0.75CoFeNi                              , FCC+BCC                                                     ,      ,  340  , C            ,  500   ,   2787   ,   31.2 ,        ,      4
AlCoFeNi                                  , BCC                                                         ,      ,  450  , C            ,  967.4 ,          ,    7.9 ,        ,      4
CoFeNiSi0.25                              , FCC                                                         ,      ,  220  , C            ,  192.0 ,          ,        ,        ,      4
CoFeNiSi0.5                               , FCC+Ni3Si                                                   ,      ,  390  , C            ,  500   ,          ,        ,        ,      4
CoFeNiSi0.75                              , FCC+Ni3Si                                                   ,      ,  568  , C            , 1297.1 ,          ,        ,        ,      4
FeNiCoCrMn                                , FCC                                                         ,      ,       , T            ,  192   ,    480   ,   50   , 202    ,      5
FeNiCoCr                                  , FCC                                                         ,      ,       , T            ,  274   ,    560   ,   50   , 215    ,      5
FeNiCoMn                                  , FCC                                                         ,      ,       , T            ,  175   ,    450   ,   42   , 188    ,      5
NiCoCrMn                                  , FCC                                                         ,      ,       , T            ,  285   ,    570   ,   48   , 195    ,      5
FeNiCo                                    , FCC                                                         ,      ,       , T            ,  216   ,    500   ,   38   , 162    ,      5
NiCoCr                                    , FCC                                                         ,      ,       , T            ,  303   ,    680   ,   55   , 226    ,      5
FeNiMn                                    , FCC                                                         ,      ,       , T            ,  245   ,    480   ,   32   , 181    ,      5
NiCoMn                                    , FCC                                                         ,      ,       , T            ,  235   ,    510   ,   40   , 189    ,      5
CoCrFeNi                                  , FCC                                                         ,      ,       , T            ,  147   ,    413   ,   48.0 ,        ,      6
CoCrFeNiNb0.103                           , FCC+Laves                                                   ,      ,       , T            ,  317   ,    622   ,   19.2 ,        ,      6
CoCrFeNiNb0.155                           , FCC+Laves                                                   ,      ,       , T            ,  321   ,    744   ,   23.3 ,        ,      6
CoCrFeNiNb0.206                           , FCC+Laves                                                   ,      ,       , T            ,  402   ,    807   ,    8.6 ,        ,      6
CoCrFeNiNb0.309                           , FCC+Laves                                                   ,      ,       , T            ,  478   ,    879   ,    3.5 ,        ,      6
CoCrFeNiNb0.412                           , FCC+Laves                                                   ,      ,       , T            ,  637   ,   1004   ,    1.3 ,        ,      6
CoCrFeNi                                  , FCC                                                         ,      ,  116  ,              ,        ,          ,        ,        ,      7
Al0.25CoCrFeNi                            , FCC                                                         ,      ,  110  ,              ,        ,          ,        ,        ,      7
Al0.375CoCrFeNi                           , FCC                                                         ,      ,  130.8,              ,        ,          ,        ,        ,      7
Al0.5CoCrFeNi                             , FCC+BCC                                                     ,      ,  159  ,              ,        ,          ,        ,        ,      7
Al0.75CoCrFeNi                            , FCC+BCC                                                     ,      ,  388  ,              ,        ,          ,        ,        ,      7
Al0.875CoCrFeNi                           , BCC                                                         ,      ,  538  ,              ,        ,          ,        ,        ,      7
AlCoCrFeNi                                , BCC+B2                                                      ,      ,  484  ,              ,        ,          ,        ,        ,      7
Al1.25CoCrFeNi                            , BCC+B2                                                      ,      ,  487  ,              ,        ,          ,        ,        ,      7
Al1.5CoCrFeNi                             , BCC+B2                                                      ,      ,  484  ,              ,        ,          ,        ,        ,      7
Al2CoCrFeNi                               , BCC+B2                                                      ,      ,  509  ,              ,        ,          ,        ,        ,      7
CoCrFeNi                                  , FCC                                                         ,      ,  113  ,              ,        ,          ,        ,        ,      7
Al0.25CoCrFeNi                            , FCC                                                         ,      ,  113  ,              ,        ,          ,        ,        ,      7
Al0.375CoCrFeNi                           , FCC+BCC                                                     ,      ,  196  ,              ,        ,          ,        ,        ,      7
Al0.5CoCrFeNi                             , FCC+BCC                                                     ,      ,  209  ,              ,        ,          ,        ,        ,      7
Al0.75CoCrFeNi                            , FCC+BCC                                                     ,      ,  280  ,              ,        ,          ,        ,        ,      7
Al0.875CoCrFeNi                           , FCC+BCC                                                     ,      ,  361  ,              ,        ,          ,        ,        ,      7
AlCoCrFeNi                                , FCC+BCC                                                     ,      ,  433  ,              ,        ,          ,        ,        ,      7
Al1.25CoCrFeNi                            , BCC+B2                                                      ,      ,  499  ,              ,        ,          ,        ,        ,      7
Al1.5CoCrFeNi                             , BCC+B2                                                      ,      ,  517.3,              ,        ,          ,        ,        ,      7
Al2CoCrFeNi                               , BCC+B2                                                      ,      ,  512.4,              ,        ,          ,        ,        ,      7
CoCrFeNi                                  , FCC                                                         ,      ,  325  ,              ,        ,          ,        ,        ,      7
Al0.25CoCrFeNi                            , FCC                                                         ,      ,  346  ,              ,        ,          ,        ,        ,      7
Al0.375CoCrFeNi                           , FCC+BCC                                                     ,      ,  360  ,              ,        ,          ,        ,        ,      7
Al0.5CoCrFeNi                             , FCC+BCC                                                     ,      ,  368  ,              ,        ,          ,        ,        ,      7
Al0.75CoCrFeNi                            , FCC+BCC                                                     ,      ,  434  ,              ,        ,          ,        ,        ,      7
Al0.875CoCrFeNi                           , FCC+BCC                                                     ,      ,  497  ,              ,        ,          ,        ,        ,      7
CoCrFeMo0.5Ni                             , FCC+σ                                                       ,      ,  220  ,              ,        ,          ,        ,        ,      8
Al0.5CoCrFeMo0.5Ni                        , FCC+σ                                                       ,      ,  440  ,              ,        ,          ,        ,        ,      8
Al1.0CoCrFeMo0.5Ni                        , B2+σ                                                        ,      ,  720  ,              ,        ,          ,        ,        ,      8
Al1.5CoCrFeMo0.5Ni                        , B2+σ                                                        ,      ,  665  ,              ,        ,          ,        ,        ,      8
Al2.0CoCrFeMo0.5Ni                        , B2+BCC                                                      ,      ,  615  ,              ,        ,          ,        ,        ,      8
CoCrFeNiTi                                , FCC                                                         ,      ,       , C            ,        ,   2020   ,    9.0 , 134.6  ,      9
CoCrFeNiTiAl0.5                           , BCC+BCC+Laves                                               ,      ,       , C            ,        ,   1600   ,    9.9 , 106.8  ,      9
CoCrFeNiTiAl1.0                           , BCC+B2+Laves                                                ,      ,       , C            ,        ,   2280   ,    6.4 , 147.6  ,      9
CoCrFeNiTiAl1.5                           , BCC+BCC                                                     ,      ,       , C            ,        ,   2110   ,    9.8 , 133.4  ,      9
CoCrFeNiTiAl2.0                           , BCC+BCC                                                     ,      ,       , C            ,        ,   1030   ,    5.2 ,  93.5  ,      9
Co1.5CrFeNi1.5Ti0.5                       , FCC+η                                                       ,      ,  509  ,              ,        ,          ,        ,        ,     10
Al0.2Co1.5CrFeNi1.5Ti0.5                  , FCC                                                         ,      ,  487  ,              ,        ,          ,        ,        ,     10
