Composition (atomic)                                                                                      , Type of phases                                                                      , ρ represents the density (in g/cm^3), HV is the hardness in Vickers, "Type of tests, C and T stands for compression and tension"    , σY is the Yield strength (MPa), σmax is the ultimate strength (MPa), ε is the elongation (in percentage), E is the Young's modulus (GPa)
FeNiCrCo0.3Al0.7                                                                                          , BCC1 + BCC2 + FCC                                                                   ,                                     ,                              , C                                                              ,                        2033   ,                             2635   ,                                8.12,                           
FeNiCrCoAl                                                                                                , BCC                                                                                 ,                                     ,                              , C                                                              ,                        1251   ,                             2004   ,                               32.7 ,                           
AlCrFeCoNi                                                                                                , BCC (ordered BCC solid solution)                                                    ,                                     ,                              , C                                                              ,                        1250.96,                             2004.23,                               32.7 ,                           
CrFeCoNiCuTi                                                                                              ,                                                                                     ,                                     ,                              , C                                                              ,                        1272   ,                             1272   ,                                1.6 ,                           
AlCrMnFeCoNiCuTiV                                                                                         ,                                                                                     ,                                     ,                              , C                                                              ,                        1862   ,                             2431   ,                                0.95,                           
CrFeCoNiCuTi0.5                                                                                           ,                                                                                     ,                                     ,                              , C                                                              ,                         700   ,                             1650   ,                               21.26,                           
AlCoCrFeNi                                                                                                , BCC                                                                                 ,                                     ,                              , C                                                              ,                        1051   ,                                    ,                                    ,                           
AlCoCrFeNiMo0.1                                                                                           , BCC                                                                                 ,                                     ,                              , C                                                              ,                        1804   ,                             2280   ,                                9.1 ,                           
AlCoCrFeNiMo0.2                                                                                           , BCC + alpha (lamellar eutectic)                                                     ,                                     ,                              , C                                                              ,                        2456   ,                             2953   ,                                3.4 ,                           
AlCoCrFeNiMo0.3                                                                                           , BCC + alpha (lamellar eutectic)                                                     ,                                     ,                              , C                                                              ,                        2649   ,                             3208   ,                                3.3 ,                           
AlCoCrFeNiMo0.4                                                                                           , BCC + alpha (lamellar eutectic)                                                     ,                                     ,                              , C                                                              ,                        2670   ,                             3161   ,                                3   ,                           
AlCoCrFeNiMo0.5                                                                                           , BCC + alpha (lamellar eutectic)                                                     ,                                     ,                              , C                                                              ,                        2757   ,                             3036   ,                                2.5 ,                           
AlCoCrFeNi                                                                                                , BCC solid solution                                                                  ,                                     ,                              , C                                                              ,                        1110   ,                                    ,                                    ,                           
AlCoCrFeNiSi0.2                                                                                           , BCC solid solution with nanoscale cellular precipitates                             ,                                     ,                              , C                                                              ,                        1265   ,                             2173   ,                               13.76,                           
AlCoCrFeNiSi0.4                                                                                           , BCC solid solution                                                                  ,                                     ,                              , C                                                              ,                        1481   ,                             2444   ,                               13.38,                           
AlCoCrFeNiSi0.6                                                                                           , Primarily BCC solid solution with grain-boundary delta phase                        ,                                     ,                              , C                                                              ,                        1834   ,                             2195   ,                                2.56,                           
AlCoCrFeNiSi0.8                                                                                           , BCC solid solution with delta phase                                                 ,                                     ,                              , C                                                              ,                        2179   ,                             2664   ,                                1.77,                           
AlCoCrFeNiSi                                                                                              , BCC solid solution with delta phase                                                 ,                                     ,                              , C                                                              ,                        2411   ,                             2950   ,                                1.17,                           
AlCoCrFeNi                                                                                                , BCC                                                                                 ,                                     ,                              , C                                                              ,                        1138   ,                                    ,                                    ,                        125.1
AlCoCrFeNiC0.1                                                                                            , BCC + carbonization (epsilon phase)                                                 ,                                     ,                              , C                                                              ,                         957   ,                             2550   ,                               10.52,                        213.2
AlCoCrFeNiC0.2                                                                                            , BCC + carbonization (epsilon phase)                                                 ,                                     ,                              , C                                                              ,                         906   ,                             2386   ,                                8.68,                        150.9
AlCoCrFeNiC0.3                                                                                            , BCC + carbonization (epsilon phase)                                                 ,                                     ,                              , C                                                              ,                         867   ,                             2178   ,                                7.82,                        137.2
AlCoCrFeNiC0.4                                                                                            , BCC + carbonization (epsilon phase)                                                 ,                                     ,                              , C                                                              ,                        1056   ,                             2375   ,                                6.67,                        156.1
AlCoCrFeNiC0.5                                                                                            , BCC + carbonization (epsilon phase)                                                 ,                                     ,                              , C                                                              ,                        1060   ,                             2250   ,                                5.6 ,                        180.8
AlCoCrFeNiC                                                                                               , BCC + carbonization (epsilon phase) + graphite                                      ,                                     ,                              , C                                                              ,                        1251   ,                             2166   ,                                7.04,                         75.1
Al0.67Co0.67Cr0.67Fe0.67Ni0.67C                                                                           , BCC + carbonization (epsilon phase) + graphite                                      ,                                     ,                              , C                                                              ,                        1255   ,                             2083   ,                                5.54,                         72.5
AlCoCrFeNi                                                                                                , BCC                                                                                 ,                                     ,                              , C                                                              ,                        1051   ,                                    ,                                    ,                           
AlCoCrFeNiMo0.1                                                                                           , BCC                                                                                 ,                                     ,                              , C                                                              ,                        1804   ,                             2280   ,                                9.1 ,                           
AlCoCrFeNiMo0.2                                                                                           , BCC + alpha phase (lamellar eutectic)                                               ,                                     ,                              , C                                                              ,                        2456   ,                             2953   ,                                3.4 ,                           
AlCoCrFeNiMo0.3                                                                                           , BCC + alpha phase (lamellar eutectic)                                               ,                                     ,                              , C                                                              ,                        2649   ,                             3208   ,                                3.3 ,                           
AlCoCrFeNiMo0.4                                                                                           , BCC + alpha phase (lamellar eutectic)                                               ,                                     ,                              , C                                                              ,                        2670   ,                             3161   ,                                3.0 ,                           
AlCoCrFeNiMo0.5                                                                                           , BCC + alpha phase (lamellar eutectic)                                               ,                                     ,                              , C                                                              ,                        2757   ,                             3036   ,                                2.5 ,                           
AlCoCrFeNi                                                                                                , BCC                                                                                 ,                                     ,                        520   , C                                                              ,                        1373   ,                             3531   ,                               24.5 ,                           
AlCoCrFeNb0.1Ni                                                                                           , BCC (minor interdendritic Laves observed by SEM)                                    ,                                     ,                        569   , C                                                              ,                        1641   ,                             3285   ,                               17.2 ,                           
AlCoCrFeNb0.25Ni                                                                                          , Primary BCC + eutectic (BCC + Laves)                                                ,                                     ,                        668   , C                                                              ,                        1959   ,                             3008   ,                               10.5 ,                           
AlCoCrFeNb0.5Ni                                                                                           , Primary BCC + eutectic (BCC + Laves)                                                ,                                     ,                        747   , C                                                              ,                        2473   ,                             3170   ,                                4.1 ,                           
AlCoCrFeNb0.75Ni                                                                                          , Primary Laves + eutectic (BCC + Laves)                                              ,                                     ,                              , C                                                              ,                               ,                                    ,                                    ,                           
AlCo0.5CrFeMo0.5Ni                                                                                        , BCC; sigma                                                                          ,                                     ,                        788   ,                                                                ,                               ,                                    ,                                    ,                           
AlCoCrFeMo0.5Ni                                                                                           , BCC; sigma                                                                          ,                                     ,                        770   ,                                                                ,                               ,                                    ,                                    ,                           
AlCo1.5CrFeMo0.5Ni                                                                                        , BCC; sigma                                                                          ,                                     ,                        711   ,                                                                ,                               ,                                    ,                                    ,                           
AlCo2CrFeMo0.5Ni                                                                                          , BCC; FCC; sigma                                                                     ,                                     ,                        596   ,                                                                ,                               ,                                    ,                                    ,                           
AlCoCrFe0.6Mo0.5Ni                                                                                        , duplex BCC + sigma                                                                  ,                                     ,                        755   ,                                                                ,                               ,                                    ,                                    ,                           
AlCoCrFeMo0.5Ni                                                                                           , duplex BCC + sigma                                                                  ,                                     ,                        730   ,                                                                ,                               ,                                    ,                                    ,                           
Al0.67Co0.67Cr0.67FeMo0.33Ni0.67                                                                          , duplex BCC + sigma                                                                  ,                                     ,                        635   ,                                                                ,                               ,                                    ,                                    ,                           
