Composition (atomic)                                                                                                    , Folder number, Type of phases                                                                                                              , ρ represents the density (in g/cm^3), HV is the hardness in Vickers, Type of tests, σY is the Yield strength (MPa), σmax is the ultimate strength (MPa), ε is the elongation (in percentage), E is the Young's modulus (GPa)
CoFeNi                                                                                                                  ,             4, FCC                                                                                                                         ,                                     ,                        125   , C            , 200                           , 1700                               , 53                                 ,                           
Al0.25CoFeNi                                                                                                            ,             4, FCC                                                                                                                         ,                                     ,                        140   , C            , 158.4                         , 1800                               , 50                                 ,                           
Al0.5CoFeNi                                                                                                             ,             4, FCC+BCC                                                                                                                     ,                                     ,                        205   , C            , 350                           , 2600                               , 55                                 ,                           
Al0.75CoFeNi                                                                                                            ,             4, FCC+BCC                                                                                                                     ,                                     ,                        380   , C            , 800                           , 2787                               , 31.2                               ,                           
AlCoFeNi                                                                                                                ,             4, BCC                                                                                                                         ,                                     ,                        450   , C            , 967.4                         , 1300                               , 7.9                                ,                           
CoFeNiSi0.25                                                                                                            ,             4, FCC                                                                                                                         ,                                     ,                        145   , C            , 192.0                         , 1800                               , 50                                 ,                           
CoFeNiSi0.5                                                                                                             ,             4, FCC+Ni3Si                                                                                                                   ,                                     ,                        285   , C            , 480                           , 2350                               , 43                                 ,                           
CoFeNiSi0.75                                                                                                            ,             4, FCC+Ni3Si                                                                                                                   ,                                     ,                        568   , C            , 1297.1                        , 1900                               , 4.5                                ,                           
FeNiCoCr                                                                                                                ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 475.5                         , 1160                               , 45                                 ,                        215.0
FeNiCoCr                                                                                                                ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 331.0                         , 910                                , 43                                 ,                        215.0
FeNiCoCr                                                                                                                ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 274.1                         , 700                                , 35                                 ,                        215.0
FeNiCoCr                                                                                                                ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 217.9                         , 580                                , 33                                 ,                        215.0
FeNiCoCr                                                                                                                ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 195.4                         , 500                                , 28                                 ,                        215.0
FeNiCoMn                                                                                                                ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 299.4                         , 800                                , 49                                 ,                        187.9
FeNiCoMn                                                                                                                ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 212.6                         , 670                                , 44                                 ,                        187.9
FeNiCoMn                                                                                                                ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 175.0                         , 540                                , 42                                 ,                        187.9
FeNiCoMn                                                                                                                ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 133.5                         , 480                                , 36                                 ,                        187.9
FeNiCoMn                                                                                                                ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 114.1                         , 460                                , 37                                 ,                        187.9
NiCoCrMn                                                                                                                ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 504.5                         , 1280                               , 62                                 ,                        195.0
NiCoCrMn                                                                                                                ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 350.2                         , 1000                               , 54                                 ,                        195.0
NiCoCrMn                                                                                                                ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 285.2                         , 680                                , 44                                 ,                        195.0
NiCoCrMn                                                                                                                ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 216.0                         , 580                                , 36                                 ,                        195.0
NiCoCrMn                                                                                                                ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 185.0                         , 540                                , 30                                 ,                        195.0
FeNiCo                                                                                                                  ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 340.1                         , 780                                , 42                                 ,                        162.0
FeNiCo                                                                                                                  ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 255.5                         , 650                                , 36                                 ,                        162.0
FeNiCo                                                                                                                  ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 216.3                         , 510                                , 31                                 ,                        162.0
FeNiCo                                                                                                                  ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 169.7                         , 450                                , 29                                 ,                        162.0
FeNiCo                                                                                                                  ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 145.2                         , 390                                , 25                                 ,                        162.0
NiCoCr                                                                                                                  ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 515.9                         , 1290                               , 75                                 ,                        226.2
NiCoCr                                                                                                                  ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 367.7                         , 1010                               , 75                                 ,                        226.2
NiCoCr                                                                                                                  ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 302.3                         , 860                                , 60                                 ,                        226.2
NiCoCr                                                                                                                  ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 228.4                         , 690                                , 49                                 ,                        226.2
NiCoCr                                                                                                                  ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 192.5                         , 600                                , 27                                 ,                        226.2
FeNiMn                                                                                                                  ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 372.7                         , 900                                , 46                                 ,                        181.0
FeNiMn                                                                                                                  ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 281.9                         , 680                                , 42                                 ,                        181.0
FeNiMn                                                                                                                  ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 245.0                         , 610                                , 34                                 ,                        181.0
FeNiMn                                                                                                                  ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 207.0                         , 540                                , 37                                 ,                        181.0
FeNiMn                                                                                                                  ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 191.0                         , 520                                , 35                                 ,                        181.0
NiCoMn                                                                                                                  ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 371.4                         , 930                                , 50                                 ,                        189.4
NiCoMn                                                                                                                  ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 273.8                         , 750                                , 43                                 ,                        189.4
NiCoMn                                                                                                                  ,             5, fcc                                                                                                                         ,                                     ,                              , T            , 234.6                         , 670                                , 38                                 ,                        189.4
