Row mapping between table_1.csv (original) and inference_codex_1_79_compiled.csv (reconstructed)
Method: rows first used the same exact normalized-composition matching rule as row_mapping_100_old.txt. Formula strings and dictionary-style atomic-percent compositions were parsed into normalized atomic fractions, zero-valued dictionary entries were ignored, and only rows with parsed compositions and hardness values were eligible. Within duplicate exact-composition groups, original and reconstructed rows were sorted by hardness and paired by rank. Because that produced only 100 usable exact pairs, the remaining pairs were filled from unused rows with a second pass that required element-set Jaccard overlap >= 0.60, normalized composition L1 distance <= 1.0, and hardness absolute difference <= 220; these approximate candidates were ranked by composition distance, then hardness difference, then element overlap.

Selected 100 matched pairs
Breakdown: exact=100, approximate=0

01. kind=exact, original_line=305, reconstructed_line=407, composition_orig=HfNbTiVZr, composition_recon=Ti20Zr20Hf20Nb20V20, HV_orig=388.000, HV_recon=3.800, HV_abs_diff=384.200, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=4
02. kind=exact, original_line=29, reconstructed_line=98, composition_orig=Al0.7Co0.3CrFeNi, composition_recon=FeNiCrCo0.3Al0.7, HV_orig=624.000, HV_recon=624.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=3
03. kind=exact, original_line=262, reconstructed_line=387, composition_orig=Al0.5HfNbTaTiZr, composition_recon=Al0.5HfNbTaTiZr, HV_orig=396.000, HV_recon=396.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=3
04. kind=exact, original_line=263, reconstructed_line=388, composition_orig=Al0.75HfNbTaTiZr, composition_recon=Al0.75HfNbTaTiZr, HV_orig=427.000, HV_recon=427.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=3
05. kind=exact, original_line=299, reconstructed_line=479, composition_orig=HfNbSi0.5TiVZr, composition_recon=HfNbSi0.5TiVZr, HV_orig=464.000, HV_recon=464.000, HV_abs_diff=0.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=3
06. kind=exact, original_line=132, reconstructed_line=252, composition_orig=AlCrFeNi, composition_recon=AlCrFeNi, HV_orig=472.000, HV_recon=472.400, HV_abs_diff=0.400, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=3
07. kind=exact, original_line=133, reconstructed_line=253, composition_orig=AlCrFeNiMo0.2, composition_recon=AlCrFeNiMo0.2, HV_orig=549.000, HV_recon=548.500, HV_abs_diff=0.500, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=3
08. kind=exact, original_line=134, reconstructed_line=254, composition_orig=AlCrFeNiMo0.5, composition_recon=AlCrFeNiMo0.5, HV_orig=622.000, HV_recon=621.500, HV_abs_diff=0.500, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=3
09. kind=exact, original_line=279, reconstructed_line=420, composition_orig=CrMo0.5NbTa0.5TiZr, composition_recon=NbCrMo0.5Ta0.5TiZr, HV_orig=540.000, HV_recon=539.200, HV_abs_diff=0.800, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=3
10. kind=exact, original_line=247, reconstructed_line=335, composition_orig=Al22.5Cu20Fe15Ni20Ti22.5, composition_recon=Al22.5Ti22.5Ni20Cu20Fe15, HV_orig=516.000, HV_recon=434.000, HV_abs_diff=82.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=3
11. kind=exact, original_line=246, reconstructed_line=337, composition_orig=Al1.125CuFe0.75NiTi1.125, composition_recon=Al22.5Ti22.5Ni20Cu20Fe15, HV_orig=516.000, HV_recon=370.000, HV_abs_diff=146.000, composition_L1=0.000000, element_jaccard=1.000, shared_metrics=3
