Composition                               , Type_of_phases                                                                                                                        , Density_g_cm3, HV     , Test_type, Yield_Strength_MPa, Ultimate_Strength_MPa, Elongation_pct, Youngs_Modulus_GPa, Folder_Number
CoCrFeNi                                  , FCC                                                                                                                                   ,              ,        , T        ,             147   ,                413   ,          48.0 ,                   ,             4
CoCrFeNiNb0.103                           , FCC + Laves                                                                                                                           ,              ,        , T        ,             317   ,                622   ,          19.2 ,                   ,             4
CoCrFeNiNb0.155                           , FCC + Laves                                                                                                                           ,              ,        , T        ,             321   ,                744   ,          23.3 ,                   ,             4
CoCrFeNiNb0.206                           , FCC + Laves                                                                                                                           ,              ,        , T        ,             402   ,                807   ,           8.6 ,                   ,             4
CoCrFeNiNb0.309                           , FCC + Laves                                                                                                                           ,              ,        , T        ,             478   ,                879   ,           3.5 ,                   ,             4
CoCrFeNiNb0.412                           , FCC + Laves                                                                                                                           ,              ,        , T        ,             637   ,               1004   ,           1.3 ,                   ,             4
FeNiCoCr                                  , fcc single-phase solid solution                                                                                                       ,              ,        , T        ,             443   ,                      ,               ,                   ,             5
FeNiCoMn                                  , fcc single-phase solid solution                                                                                                       ,              ,        , T        ,             282   ,                      ,               ,                   ,             5
NiCoCrMn                                  , fcc single-phase solid solution                                                                                                       ,              ,        , T        ,             491   ,                      ,               ,                   ,             5
FeNiCo                                    , fcc single-phase solid solution                                                                                                       ,              ,        , T        ,             292   ,                      ,               ,                   ,             5
NiCoCr                                    , fcc single-phase solid solution                                                                                                       ,              ,        , T        ,             489   ,                      ,               ,                   ,             5
FeNiMn                                    , fcc single-phase solid solution                                                                                                       ,              ,        , T        ,             283   ,                      ,               ,                   ,             5
NiCoMn                                    , fcc single-phase solid solution                                                                                                       ,              ,        , T        ,             302   ,                      ,               ,                   ,             5
FeNiCoCrMn                                , fcc single-phase solid solution                                                                                                       ,              ,        , T        ,             423   ,                      ,               ,                   ,             5
CoFeNi                                    , FCC                                                                                                                                   ,              ,  125   , C        ,             200   ,               1700   ,          50   ,                   ,             6
Al0.25CoFeNi                              , FCC                                                                                                                                   ,              ,  135   , C        ,             158.4 ,               1700   ,          50   ,                   ,             6
