Composition (atomic)       , Ref.     , Type of phases      , rho (g/cm^3), HV   , Type of tests, sigma_y (MPa), sigma_max (MPa), epsilon (%), E (GPa)
CoFeNi                     , [4]      , FCC                 , (8.5)       , 125  , C            ,           204,                ,            , (207)
CoFeNi                     , [4]      , FCC                 , (8.5)       , 125  , C            ,           209,                ,            , (207)
CoFeNi                     , [5]      , FCC                 , (8.5)       ,      , T            ,           211,             513, 31         , (207)
CoFeNiSi0.25               , [4]      , FCC                 , (7.7)       , 149  , C            ,           196,                ,            , (194)
CoFeNiSi0.5                , [4]      , FCC + Im            , (7.1)       , 287  , C            ,           476,                ,            , 
CoFeNiSi0.75               , [4]      , FCC + Im            , (6.6)       , 570  , C            ,          1301,                ,            , 
Al0.25CoFeNi               , [4]      , FCC                 , (7.9)       , 138  , C            ,           158,                ,            , (196)
Al0.5CoFeNi                , [4]      , FCC + BCC           , (7.4)       , 212  , C            ,           346,                ,            , (187)
Al0.75CoFeNi               , [4]      , FCC + BCC           , (7.0)       , 385  , C            ,           794,                ,            , (179)
CoCrFeNi                   , [6]      , FCC                 , (8.2)       ,      , T            ,           148,             413, 48         , (225)
CoCrFeNi                   , [7]      , FCC                 , (8.2)       , 116  ,              ,              ,                ,            , (225)
CoCrFeNi                   , [7]      , FCC                 , (8.2)       , 113  ,              ,              ,                ,            , (225)
CoCrFeMo0.5Ni              , [8]      , FCC + Im            , (8.5)       , 210  ,              ,              ,                ,            , 
CoCrFeNb0.103Ni            , [6]      , FCC + Im            , (8.2)       ,      , T            ,           318,             622, 19         , 
CoCrFeNb0.155Ni            , [6]      , FCC + Im            , (8.2)       ,      , T            ,           322,             744, 23         , 
CoCrFeNb0.206Ni            , [6]      , FCC + Im            , (8.2)       ,      , T            ,           403,             807, 9          , 
CoCrFeNb0.309Ni            , [6]      , FCC + Im            , (8.2)       ,      , T            ,           479,             879, 4          , 
CoCrFeNb0.412Ni            , [6]      , FCC + Im            , (8.2)       ,      , T            ,           638,            1004, 1          , 
CoCrFeNiTi                 , [9]      , FCC                 , (7.2)       ,      , C            ,              ,            2020, 9          , 135 (203)
Co1.5CrFeNi1.5Ti0.5        , [10]     , FCC                 , (7.8)       , 509  ,              ,              ,                ,            , (211)
Co1.5CrFeNi1.5Ti           , [10]     , FCC + Im            , (7.4)       , 654  ,              ,              ,                ,            , 
Al0.25CoCrFeNi             , [7]      , FCC                 , (7.7)       , 110  ,              ,              ,                ,            , (216)
Al0.25CoCrFeNi             , [7]      , FCC                 , (7.7)       , 113  ,              ,              ,                ,            , (216)
Al0.375CoCrFeNi            , [7]      , FCC                 , (7.5)       , 131  ,              ,              ,                ,            , (211)
Al0.375CoCrFeNi            , [7]      , FCC                 , (7.5)       , 196  ,              ,              ,                ,            , (211)
Al0.5CoCrFeNi              , [7]      , FCC + BCC           , (7.3)       , 159  ,              ,              ,                ,            , (208)
Al0.5CoCrFeNi              , [7]      , FCC + BCC           , (7.3)       , 209  ,              ,              ,                ,            , (208)
Al0.7Co0.3CrFeNi           , [11]     , FCC + BCC + B 2     , (6.8)       , 624  , C            ,          2033,            2635, 8          , 
Al0.75CoCrFeNi             , [7]      , FCC + BCC           , (7.0)       , 388  ,              ,              ,                ,            , (200)
Al0.75CoCrFeNi             , [7]      , FCC + BCC           , (7.0)       , 280  ,              ,              ,                ,            , (200)
Al0.875CoCrFeNi            , [12]     , FCC + BCC           , (6.9)       ,      ,              ,              ,                ,            , (197)
Al0.875CoCrFeNi            , [7]      , BCC                 , (6.9)       , 538  ,              ,              ,                ,            , (197)
Al0.875CoCrFeNi            , [7]      , FCC + BCC           , (6.9)       , 361  ,              ,              ,                ,            , (197)
AlCoCrFeNi                 , [7]      , BCC                 , (6.7)       , 484  ,              ,              ,                ,            , (194)
AlCoCrFeNi                 , [7]      , FCC + BCC           , (6.7)       , 433  ,              ,              ,                ,            , (194)
AlCoCrFeNi                 , [13]     , BCC                 , (6.7)       , 395  ,              ,              ,                ,            , (194)
AlCoCrFeNi                 , [14]     , BCC                 , (6.7)       ,      , C            ,          1251,            2004, 33         , (194)
AlCoCrFeNi                 , [15]     , BCC                 , (6.7)       ,      , C            ,          1051,                ,            , (194)
AlCoCrFeNi                 , [16]     , BCC                 , (6.7)       ,      , C            ,          1110,                ,            , (194)
AlCoCrFeNi                 , [17]     , BCC                 , (6.7)       ,      , C            ,          1138,                ,            , 125 (194)
AlCoCrFeNi                 , [18]     , BCC                 , (6.7)       ,      , C            ,          1138,                , 11         , 125 (194)
AlCoCrFeNi                 , [19]     , BCC                 , (6.7)       ,      , C            ,          1051,                ,            , (194)
AlCoCrFeNi                 , [20]     , BCC                 , (6.7)       , 520  , C            ,          1373,            3531, 25         , (194)
